f1;f2;f3;f4;f5;f6;f7;f8;f9;f10
row1£;12ERokpycGTl;3Pl;2h;13lUODFxmpDRE;7RTHvLc;10YLXagLva;13RSdcdylHldT;20EwhTiEAyBoRuoKUnOj;13ESLvoMugZWp
row2£;12DnywieKRFu;3yx;2w;13pxxGYoockCQ;7MYZTQf;10WKMiqISg;13HTpEmFDquZa;20KVVFbAKOITBomkHWqW;13cjaWsxVjYCc
row3£;12RxxFgEifGe;3Gc;2c;13soqOuFGGcrD;7qkiuYD;10sTzLkLVD;13DNpCoBxISBl;20NNKhQGyXlGFkBgvQLM;13fqCGLOYIRdv
row4£;12SgYVITGXRD;3rI;2M;13PvnrQygyXAT;7ZICpuE;10eqrtVufp;13SkMFYBgNngu;20JyMistPZCKKPsSQsWZ;13UOHJCRapmVu
row5£;12hViTcnwhac;3NE;2W;13MIFdaetQwfd;7ycrpxC;10lKiDeTWt;13SvzUCyzcJqf;20QeuBWaXudLicMIMJRF;13NCBiASLrHWZ
row6£;12utAfEEeKGj;3zv;2j;13SLJIttlVSwB;7nbjXwr;10zovxgWyW;13HnTznuwaGkh;20HCVQyXSgyYunnJooza;13DrcjBRzzVQn
row7£;12MGfsDmXOlS;3pz;2j;13PJSvZCjrmbE;7jtVgzh;10nhjDUrTy;13WHazUJNuWKv;20xkSKzdoLEDHpMgvWbP;13YiHIwxsEEXx
row8£;12DADjXIAhow;3bR;2P;13tjlEhFoKMkz;7KKDhja;10FyGPpkaS;13WKJagjwENIj;20oLWHWjrrmeqHFmrAja;13snMiSRbhMae
row9£;12TiuKiYiKrh;3DE;2f;13yfAZmbUcyhg;7DRmNng;10MZLdFzmS;13YiRXHVxszfQ;20dkXGAiSLwPeTXxTgXn;13tPlFNucSJEE
row10;£12PvGYecUTK;A3T;U2;G13YsWgAimozO;n7TcotP;o10toQWHtE;f13yvALbYAjmM;R20PiXPpwSZIBqPnPZcE;g13MfEQwLcIUL
